,X_CCF,Y_CCF,Z_CCF
38,-47893.71263016803,-79440.76923224427,-207306.32284708624
39,-46136.25319225708,-79344.17374302742,-213010.07988177976
40,-44408.55047952247,-79090.69619917913,-218714.7624381125
41,-42708.38525556344,-78761.49998649204,-224417.8384977983
42,-41067.26936201056,-78278.54720027454,-230122.63508276103
43,-39464.194342293296,-77735.95243917096,-235825.75903364588
44,-37908.34447505126,-77117.59725787726,-241528.02160289578
45,-36451.661449032894,-76374.72021768447,-247232.6097679805
46,-35048.9790669326,-75586.79242760601,-252935.84013383897
47,-33679.25251302577,-74768.77242382553,-258636.5658110837
48,-32430.13633019694,-73866.04026700577,-264339.57974828396
49,-31216.782305220295,-72941.31899817962,-270040.0554573261
50,-30101.676377989934,-71969.86335108163,-275741.1557669081
51,-29039.72739474041,-70973.88622260961,-281440.5109868924
52,-28093.54870736276,-69947.12639848705,-287141.05764513067
53,-27266.021175686332,-68905.39965191443,-292842.8121729249
54,-26508.872330721784,-67859.3673518866,-298543.45066758874
55,-25850.869983795546,-66815.90723178179,-304244.3399147417
56,-25327.699606114213,-65792.4854213964,-309947.2720009511
57,-24841.78441111445,-64775.1085952148,-315647.56634758017
58,-24451.163272372796,-63781.29907472771,-321348.1161048832
59,-24209.72365008599,-62844.548571470266,-327051.9794865186
60,-24032.064331343416,-61939.66707671881,-332754.96129095485
61,-23911.456782628404,-61064.81182307885,-338456.76469894184
62,-23903.58944990358,-60261.02626833764,-344160.95591768296
63,-23945.90051212536,-59495.03193033985,-349864.0946599086
64,-24085.27289048063,-58810.940900001435,-355569.70967360307
65,-24252.849187698448,-58156.58094492424,-361273.36868188204
66,-24504.020814207808,-57592.41987149833,-366979.78988278663
67,-24778.417958318845,-57061.285188602866,-372684.50341555366
68,-25118.80073318363,-56623.6344694105,-378392.1398804744
69,-25496.09765310333,-56255.31328132302,-384100.9449690399
70,-25945.364793472843,-56040.423280934985,-389817.5353592088
71,-26341.68394841176,-55752.93609700988,-395524.8705250246
72,-26771.44427822828,-55565.45209861139,-401236.406596225
73,-27195.562109854654,-55391.62105673431,-406945.5913164107
74,-27634.45590751891,-55318.080853119216,-412659.8653675294
75,-28061.846403436175,-55261.58533439605,-418372.6956687608
76,-28480.129748509047,-55240.90717052023,-424085.96568801504
77,-28886.748583309964,-55243.39644286623,-429798.8061880099
78,-29264.308225693945,-55364.15133546204,-435521.74077843846
79,-29617.840337016416,-55470.4645967801,-441242.05801520444
80,-30927.916107355435,-53134.11639253823,-446650.2385140448
81,-30851.593474042456,-54580.82985430262,-452524.85807033133
82,-31223.07107485163,-54825.21064344162,-458245.92924426583
83,-31607.154704172906,-55016.73303640409,-463957.5959117031
84,-32016.539050182437,-55175.62430365818,-469660.25540460594
85,-32391.874265651677,-55369.10315273373,-475365.9208404369
86,-32779.26970128439,-55559.85622034574,-481066.36355908547
87,-33104.7239291535,-55788.948572524096,-486773.57894409215
88,-33462.42150908853,-56009.48320839059,-492472.5456905376
89,-33791.40236737656,-56248.47973577715,-498172.7276115629
90,-34112.88750353231,-56498.563528696985,-503870.79342960526
91,-34374.106626459645,-56761.67434816877,-509574.2350127641
92,-34676.52022712914,-57033.06706076376,-515268.27449244185
93,-34859.9230925194,-57302.108792390856,-520976.0030669564
94,-35087.306429574084,-57581.46083940802,-526673.7480527081
95,-35247.40895782974,-57851.09942889395,-532377.8343084942
96,-35365.26457205374,-58108.78525099011,-538084.8906659335
97,-35489.85730160889,-58370.71321646797,-543787.3889647637
98,-35549.92767267065,-58603.9646228043,-549497.0151359143
99,-35596.21502271187,-58827.69791760293,-555205.9352646645
100,-35619.02787378905,-59034.86967083465,-560916.1187160871
101,-35640.27681091153,-59239.66776773413,-566623.6358430549
102,-35656.88642395239,-59442.04700947284,-572328.8273944765
103,-35629.742540878375,-59604.95155840919,-578040.6952287344
104,-35586.85666050993,-59747.78474078596,-583754.1825343475
105,-35525.63639039448,-59863.44114820343,-589470.966599692
106,-35459.29385683387,-59964.11451790599,-595188.3578743287
107,-35409.15696979813,-60083.02618234498,-600898.9551204637
108,-35341.16906348,-60168.56687664858,-606614.7980092504
109,-35261.64281644678,-60220.93038206046,-612336.2254852166
110,-35176.97648504641,-60241.03526431573,-618063.6464447175
111,-35108.46072738094,-60283.324326000096,-623784.3410783783
112,-35036.67751915102,-60284.789166236544,-629514.3069351207
113,-34974.853571836444,-60282.42410329352,-635245.0559792363
114,-34923.7621153594,-60292.503209517236,-640972.4704086091
115,-34882.66035737787,-60264.56936499188,-646711.635453224
116,-34848.22415819438,-60289.00109310625,-652435.9810911326
117,-34830.20916617955,-60269.166088430706,-658176.2380264176
118,-34803.2253750858,-60312.913464126555,-663895.7264988344
119,-34794.99282655651,-60321.18011097879,-669630.0292519664
120,-34780.331866377135,-60355.72789115296,-675355.4064149776
121,-34760.45664901325,-60401.31465244403,-681076.5127726949
122,-34713.09313644338,-60472.880017341966,-686782.341266963
123,-34704.838811352194,-60504.90938846408,-692511.5163025549
124,-34695.188076570324,-60542.50579992779,-698239.7025464902
125,-34621.51737563307,-60611.54698117408,-703937.8221871142
126,-34593.52010867993,-60653.46970768036,-709659.5664147952
127,-34527.333659195916,-60703.00021994237,-715365.2973300328
128,-34466.95924954141,-60744.19733281622,-721075.3015184952
129,-34432.70612659866,-60779.188893552826,-726798.1639649933
130,-34363.436533953216,-60811.7995685395,-732506.9733365698
131,-34264.21159084297,-60834.59868920095,-738203.7390256369
132,-34281.646391830545,-60872.68116904734,-743953.6613267515
133,-34172.492939950636,-60882.53599009199,-749648.0295946583
134,-34117.15293091257,-60901.750266653275,-755367.9503794435
135,-34023.70441983853,-60902.2558221126,-761070.5938186091
136,-33940.68694273418,-60900.71977462516,-766778.5489591543
137,-33873.83887194596,-60903.126409115066,-772495.4014363165
138,-33826.69322981144,-60915.98673549558,-778224.4997476515
139,-33804.16880716181,-60948.59341997573,-783971.1838071267
140,-33799.08758315936,-61002.49732258345,-789734.7412602305
141,-33721.031175809156,-60996.19870057423,-795455.0002935564
142,-33677.11167313677,-61024.01173231242,-801203.377011085
143,-33611.73809051503,-61031.317580704985,-806940.3844585386
144,-33607.33702060999,-61126.21717045382,-812742.3370134626
145,-33610.27944937961,-61261.02715907431,-818576.6076668758
146,-32383.559768009465,-59149.331443232106,-822833.2747470218
147,-32449.96834460208,-59123.18849642103,-828542.4782664648
148,-32522.840715188977,-59118.68888077497,-834262.6104293484
149,-32586.718409168374,-59096.97287399561,-839965.6077825172
150,-32657.41945338787,-59107.50282951044,-845688.8506854883
151,-32723.010115294957,-59111.958457343186,-851403.9118676239
152,-32786.22845015209,-59118.004615879414,-857116.7095332727
153,-32846.40288917579,-59150.37877683848,-862849.8896183403
154,-32901.55231511148,-59174.9173272358,-868574.7652856952
155,-32954.73994001613,-59190.02990908549,-874288.4490991018
156,-33011.27348265423,-59190.87374309418,-879983.0763186633
157,-33052.56271294412,-59228.17498392809,-885717.1384170711
158,-33091.80052264456,-59258.14093612435,-891443.1677959429
159,-33105.792728709086,-59313.08959667996,-897209.5246410002
160,-33196.32744983588,-59278.008267741716,-902827.3369757186
161,-33229.002088002846,-59308.56831817626,-908549.30836203
162,-33252.24887318408,-59341.71096931998,-914280.0771592188
163,-33258.31704802091,-59378.46788368417,-920030.0255184845
164,-33692.059741784484,-59263.3689272878,-925174.8480685794
165,-33829.55502139646,-59304.01494146497,-930749.4560220417
166,-33759.901469562865,-59389.326684182306,-936598.8700051786
167,10088.95966648384,4577.5354414519425,9234.438777800435
168,4311.458948066787,4259.437907575657,3533.3861910801397
169,-1421.8331139529928,3525.520734612609,-2164.661075957507
170,-7051.614019833529,2291.4286711327954,-7868.566336588192
171,-12566.498013573804,717.981997854527,-13568.368498032782
172,-17909.51544732743,-1240.4602238632174,-19270.7438983071
173,-23065.378016764767,-3509.384732568783,-24972.161404206254
174,-28027.62491613497,-6036.040974816964,-30670.02143231866
175,-32725.261512870202,-8845.164441326751,-36371.37985306374
176,-37169.75490056418,-11862.763406961007,-42071.47098740635
177,-41320.496221060894,-15071.769640739427,-47773.130356595044
178,-45174.95783991743,-18427.37776253891,-53474.79410230828
179,-48595.028079873446,-21934.568375360614,-59189.918351413646
180,-52039.24033995797,-25429.68898019738,-64869.05977607837
181,-54973.035157857536,-29036.327111378054,-70568.2295907702
182,10094.581830148498,3299.9691550595753,8864.217474709316
183,10135.463168706305,3114.7702732595835,8683.764416296208
184,4487.0351530275975,2684.1490380950304,2973.0236565832197
185,-1120.8482865328915,2181.316055931306,-2719.283067809194
186,-6640.314938466972,1063.8927100613912,-8421.315490384182
187,-12048.72566615693,-404.4477433499885,-14121.340994983122
188,-17316.272993470324,-2211.638260426307,-19820.196002054716
189,-22387.26049973956,-4379.875291352987,-25521.61991487057
190,-27237.623205808854,-6846.758480580144,-31224.211726419067
191,-31865.678346759458,-9545.685827006424,-36925.43011328344
192,-36249.42004712316,-12452.959159722888,-42625.76617509571
193,-40343.886510746874,-15557.66811328481,-48327.70423864114
194,-44157.07157128173,-18806.359572210033,-54029.14002346848
195,-47694.69772092553,-22162.475683844117,-59728.79675820813
196,-50888.061708365385,-25618.19594636141,-65431.340908359314
197,-53815.679448851406,-29117.323775049663,-71130.30795177235
198,-56414.19489846392,-32648.85201800429,-76830.2274379416
199,-58677.33665315708,-36181.37324582436,-82531.4297103467
200,-60653.30591157585,-39688.92828234257,-88230.477364129
201,-62300.38495136771,-43146.174264886926,-93930.66815725378
202,-63618.7055295914,-46525.29272130972,-99632.4573382379
203,-64654.67243175709,-49813.33284898794,-105332.94955311528
204,-65388.1184214791,-52983.39395148729,-111034.41404679052
205,-65854.75821932922,-56027.51550945669,-116734.90259311452
206,-66049.27313288585,-58923.56822096787,-122435.84677106657
207,-65988.90369590581,-61659.3615230037,-128136.99489270331
208,-65681.69415282922,-64218.21350990148,-133839.055680447
209,-65165.41725523105,-66606.38535361427,-139539.90842371937
210,-64433.23912853672,-68798.59328695685,-145241.93082768712
211,-63474.42819606936,-70756.81812361091,-150948.90896548508
212,-62383.254746325314,-72551.61159437997,-156651.83813071935
213,-61138.773643351364,-74144.10198475819,-162355.26385396294
214,-59757.72422409118,-75530.63749389189,-168059.58150730518
215,-58256.36185971476,-76706.48170337292,-173765.51629692895
216,-56665.532924556996,-77694.33201430025,-179470.78360020992
217,-54992.507889579094,-78478.06020835342,-185177.82174064254
218,-53338.35434907468,-79304.38370101714,-190856.86854078548
219,-51499.53557752395,-79531.40657094086,-196588.1826222282
220,-49699.440060703666,-79775.8532956542,-202296.46168371337
221,-47888.94827123732,-79844.85086421987,-208006.9100033251
222,-46085.892388859706,-79770.45360005666,-213716.51271141713
223,-44302.088110667544,-79553.65219133734,-219426.5044210231
224,-42484.16782938142,-79551.4093415148,-225078.5931479418
225,-40833.148202820346,-78761.76649075857,-230842.9755465779
